None,Python and Coding,Github,MySQL,Assignments,Quizzes,Understanding requirements and instructions,Learning New Material,Course Structure and Materials,Time Management and Motivation,Group Work,API,Project,text
0,0,0,0,0,0,0,0,0,0,1,0,0,😊Satisfied. This course has been pretty good! I've enjoyed it . I wish I took this course in person. Especially because of this group project. I don't think group projects work and especially not online for a large portion of your grade. . Just trying my hardest to communicate with my team. . Just wish this group project wasn't like this haha. . 
0,1,0,1,0,0,0,1,0,0,0,0,1,😰AnxiousI'm just nervous because I feel I don't understand the material well enoughTrying to work through the material since I haven't really done much with python or sql before.I have just been using a lot of google and searching issuesJust the project but that's to be expected
0,0,0,0,0,0,0,0,0,0,0,1,1,"😟Confused,😐Neutral (No strong positive or negative emotions)I selected confused since the final project seems to be a bit difficult to figure out and work through. And I also selected neutral since everything else is going pretty okay.My biggest challenge would be figuring out FAST API worksI overcame this challenge by talking with my group and watching a lot of Youtube videos.No not really. "
0,0,0,0,0,0,0,1,0,1,0,0,0,"😟Confused,😰AnxiousI am concerned about my grades.My biggest challenge for these past modules was keeping up with the deadlines.I have consistently tried to look for resources online to help learn the material. I also attended office hours when possible.Other than keeping up with the group project, there are no challenges I am facing currently. "
0,0,0,0,0,0,0,0,0,1,0,0,0,"😖FrustratedLots of information.It needed a lot of time to studyStudying more.Not really, overall the cousre was great."
0,0,0,0,0,0,0,0,1,0,1,0,0,"😰AnxiousI'm not doing as great as I wanted to because of my issues with the class being online. The class was good but conducting the group project has been a struggle.As stated above, trying to find ways to assist my group has been pretty difficult.I often ask where I can pitch in and it's usually the making of the diagrams and documentation.My last assignment doesn't show up and I don't know how to fix it."
0,0,0,0,0,0,0,0,0,0,0,1,0,"😍Excited,😊SatisfiedI'm just glad that everything went well with this courseFastAPIsSpent a lot of time on course provided materials and watch many videosNo, not really. Everything needed been provided"
0,0,0,0,0,0,0,1,0,1,1,0,1,"😊Satisfied,😖Frustrated,😟ConfusedMy confusion and frustration comes from working on the group project. I was struggling to create a database and implement the tables in the models package but was eventually able to do so with the help of a TA. I also spent a lot of time designing the database.My biggest challenge for these past few modules has been understanding containerization with docker (Module 10).I tried to overcome the challenge by studying the lecture on Containerization, taking notes, and taking the quiz. One of my biggest challenges is having the discipline to turn in my assignments on time.

Another challenge is working on the group project, especially since I'm struggling to get in contact with my teammates. "
0,0,0,0,0,0,1,0,0,0,0,0,1,"😖FrustratedAs the group project has progressed, I feel as though many of its requirements and benchmarks have not been well-enough covered by the class or explained by the assignment description. There have been several times where my group members and I have expressed confusion to each other over what we were supposed to to complete the project.The group project has been very confusing in terms of how we were meant to complete certain portions of the code and the API, and the instructions for the completion of the user manual have been very minimalistic.As a group, we have gone through the previous assignments to garner as much information as we can in order to fill in the gaps, as well as writing and rewriting the code to the point of where it is now fully functional and complete. As for the user manual, we have gone through exterior resources and examples from the internet in terms of how we should structure the manual.Completing the documentation for the group project is currently our last challenge for this course."
0,0,0,0,0,0,1,0,0,0,0,0,1,"😟Confused,😰AnxiousAs we get to rounding out the project, I have only gotten more overwhelmed and confused as to what it is I have to get done. I find it is mostly just me not balancing what it is that I have left to work on very well.The biggest problem has been figuring out how I am going to execute my portion of the remainder of the project. I am in the process of putting together the final functions and will soon be adding them to our current project.I found myself talking myself through the process of how I would create the functions I need to add which seemed to help me rationalize the process.Other than working on the assembly of the project, I do not feel like I have any serious challenges."
0,0,0,0,0,0,0,0,0,1,1,0,0,"😍Excited,😊Satisfiedhave selected both “satisfied” and “excited” for how you feel about the course so far:

Satisfied:

* Meeting Expectations: The course content, structure, and delivery are meeting your expectations and providing the knowledge or skills you were hoping to gain.

* Clear Objectives: The course has clear learning objectives and outcomes that align with your personal or professional goals.

* Effective Instruction: The teaching methods and materials are effective, making it easier for you to understand and absorb the material.

* Supportive Environment: The course offers a supportive learning environment, with accessible instructors and helpful resources.

Excited:

* Engaging Content: The topics covered in the course are interesting and stimulating, keeping you engaged and eager to learn more.

* New Opportunities: The course presents new opportunities for growth, whether through challenging assignments, innovative projects, or the potential for future applications of what you're learning.

* Positive Challenges: The course provides challenges that are motivating rather than overwhelming, pushing you to expand your knowledge and skills.

* Interactive Elements: Interactive elements such as discussions, group work, or hands-on activities make the learning process dynamic and enjoyable. Final Group project and Timelines for different submission.

1. Final Group Project:

* Challenge: Coordinating with team members, dividing tasks effectively, and ensuring that everyone is on the same page was a significant challenge. Working collaboratively while managing different schedules and time zones added to the complexity.

2. Timelines for Different Submissions:

* Challenge: Keeping track of multiple deadlines for various assignments and submissions was overwhelming. Ensuring that all parts of the project were completed on time required careful planning and time management.How I Overcame the Challenges:
------------------------------

Final Group Project:

* Regular Meetings: Scheduled regular virtual meetings to discuss progress and plan next steps.

* Task Management Tools: Used Trello/Asana to assign tasks and track progress.

* Clear Communication: Established communication channels via Slack/group chat for updates and important information.

* Role Assignment: Assigned specific roles based on team members' strengths.

* Collaboration Tools: Utilized Google Docs and GitHub for real-time collaboration.

Timelines for Different Submissions:

* Detailed Schedule: Created a detailed schedule with all deadlines and milestones.

* Prioritization: Prioritized tasks and broke them into smaller, manageable parts.

* Buffer Time: Allocated buffer time before each deadline for unexpected delays.

* Consistent Progress: Set daily/weekly goals to ensure steady progress.

* Communication with Instructors: Communicated with instructors for guidance or extensions when needed.No, I don't have any current challenges in the course."
0,0,0,0,0,0,1,0,0,0,1,0,0,"😟ConfusedI feel like this class is on rails but the track is missing a few pieces here and there, the final project for example, the instructions are i guess clear in a  sense but they are very vague, this could be intentional to leave the project open ended for the students to have some control over what they make but my group and a few others I have talked to agree that it just left us confused when we needed more rigid guidelines to make sure that we were working correctly within the scope, such as do we need a ui? are we running this straight from the api page? do we need to account for users who DO have an account? Who knows the instructions only clarify that customers without an account need to be able to order so by the books no one needs an account I dont know if this is intended but that is how the instructions readthe final project for example, the instructions are i guess clear in a  sense but they are very vague, this could be intentional to leave the project open ended for the students to have some control over what they make but my group and a few others I have talked to agree that it just left us confused when we needed more rigid guidelines to make sure that we were working correctly within the scope, such as do we need a ui? are we running this straight from the api page? do we need to account for users who DO have an account? Who knows the instructions only clarify that customers without an account need to be able to order so by the books no one needs an account I dont know if this is intended but that is how the instructions readI just did it by the loose instructions that were there and if I lose points oh well but my team has not responded very much save 1 person but they are now turning in the assigned parts a little later than we agreed but submitting anywaysTeam work in the final project ands unclear instructions"
0,0,0,0,0,0,0,0,0,0,1,0,0,"😍Excited,😊SatisfiedI feel excited / satisfied because I am currently in a good place of progress in regards to the final completion of the group project.My biggest challenge was getting all of the team members in my group on the same page in accordance to the assignment.I overcame this challenge by consistently messaging and contacting my group members. I set up a meeting time for everyone in our group to join and organize the tasks needed to complete group assignment 3.My current challenge to overcome is completing the next group assignment with my group."
0,0,0,0,0,0,0,0,0,0,0,1,0,"😊Satisfied,😖Frustrated,😟ConfusedHaving trouble with Fast API, other than that, I don't have much issues. Finishing up the project for this week and working with the team to find errors and make our API run. I had to join office hours and communicate with my team to get this week's portion of the project complete. I do have some challenges still with fast api. "
0,0,0,0,0,0,1,0,0,0,0,1,0,"😍ExcitedI have been really enjoying the content that we have been learning and how it is used in a more practical setting rather than just theoretical I have still been struggling on using APIs latelyI have been working through it with my group and with friends who understand it better than I do.I've found this group project to be rather difficult based on the open-endedness of it, which has made it hard to figure out what we need to do next"
0,0,0,0,1,0,0,0,0,0,0,0,1,😊SatisfiedI feel like I've learned a lot and i like the layout of the coursejust the assignmentsuse some of the materials i was givenThe project has a lot of stuff 
0,0,0,0,1,0,0,0,0,0,0,0,0,"😊SatisfiedThe amount of knowledge that this course provided was high quality. I was able to learn more about the inner workings of software engineering. Overall, the course has enhanced my understanding of software engineering. The biggest challenge was the coding assignment for the sandwich maker machine with CRUD operations.With the information provided throughout the modules and information from the assignment, I could complete the assignment.Not at the moment."
0,0,0,0,0,0,0,1,0,0,0,0,0,"😐Neutral (No strong positive or negative emotions)The class has been going well, and I am satisfied with my group partners. I struggle to recall the prior materials from earlier in the course. I looked back at the prior materials. I do not believe at this time that I have any challenges. "
0,0,0,0,0,0,0,0,0,0,1,0,0,😍ExcitedExcited to be working on a comprehensive project.Learning to collaborate properly.Collaborating properly.Finishing the project.
0,0,0,0,0,0,1,0,0,0,0,0,0,😟ConfusedI feel like some od the instructions in the project are a bit unclearUnderstanding everything that needed to be completed in the 2nd and 3rd portions of the final projectGroup spoke with TAs to get clarification based on the work we have donen/a
